Name	Set	Imagefile	Copies	Type	Sphere/Encounter Set(icon)	Unique	Traits	Engage	Cost	Willpower/Threat	Attack	Defense	Hit Points	Quest Points	Abilities	Number	Card Text	Shadow Text	Script	Sound
Aragorn	Core	core001	1	Hero	Leadership	*	Dunedain. Noble. Ranger.	12		2	3	2	5		Sentinel	1	Response: After Aragorn commits to a quest, spend 1 resource from his resource pool to ready him.		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Theodred	Core	core002	1	Hero	Leadership	*	Noble. Rohan. Warrior.	8		1	2	1	4			2	Response: After Theodred commits to a quest, choose a hero committed to that quest. Add 1 resource to that hero's resource pool.		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Gloin	Core	core003	1	Hero	Leadership	*	Dwarf. Noble.	9		2	2	1	4			3	Response: After Gloin suffers damage, add 1 resource to his resource pool for each point of damage he just suffered.		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Gimli	Core	core004	1	Hero	Tactics	*	Dwarf. Noble. Warrior.	11		2	2	2	5			4	Gimli gets +1 ATK for each damage token on him.		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Legolas	Core	core005	1	Hero	Tactics	*	Noble. Silvan. Warrior.	9		1	3	1	4		Ranged	5	Response: After Legolas participates in an attack that destroys an enemy, place 2 progress tokens on the current quest.		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Thalin	Core	core006	1	Hero	Tactics	*	Dwarf. Warrior.	9		1	2	2	4			6	While Thalin is committed to a quest, deal 1 damage to each enemy as it is revealed by the encounter deck.		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Eowyn	Core	core007	1	Hero	Spirit	*	Noble. Rohan.	9		4	1	1	3			7	Action: Discard 1 card from your hand to give Eowyn +1 WILL until the end of the phase. This effect may be triggered by each player once each round.		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Eleanor	Core	core008	1	Hero	Spirit	*	Gondor. Noble.	7		1	1	2	3			8	Response: Exhaust Eleanor to cancel the when revealed effects of a treachery card just revealed by the encounter deck. Then, discard that card and replace it with the next card from the encounter deck.		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Dunhere	Core	core009	1	Hero	Spirit	*	Rohan. Warrior.	8		1	2	1	4			9	Dunhere can target enemies in the staging area when he attacks alone. When doing so, he gets +1 ATK.		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Denethor	Core	core010	1	Hero	Lore	*	Gondor. Noble. Steward.	8		1	1	3	3			10	Action: Exhaust Denethor to look at the top card of the encounter deck. You may move that card to the bottom of the deck.		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Glorfindel	Core	core011	1	Hero	Lore	*	Noble. Noldor. Warrior.	12		3	3	1	5			11	Action: Pay 1 resource from Glorfindel's pool to heal 1 damage on any character. (Limit once per round.)		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Beravor	Core	core012	1	Hero	Lore	*	Dunedain. Ranger.	10		2	2	2	4			12	Action: Exhaust Beravor to choose a player. That player draws 2 cards.		<s><a>y</a><l>Initialise counters</l><f>/ccwhite=1</f></s>	
Guard of the Citadel	Core	core013	3	Ally	Leadership		Gondor. Warrior.		2	1	1	0	2			13				
Faramir	Core	core014	2	Ally	Leadership	*	Gondor. Noble. Ranger.		4	2	1	2	3			14	Action: Exhaust Faramir to choose a player. Each character controlled by that player gets +1 WILL until the end of the phase.			
Son of Arnor	Core	core015	2	Ally	Leadership		Dunedain.		3	0	2	0	2			15	Response: After Son of Arnor enters play, choose an enemy card in the staging area or currently engaged with another player. Engage that enemy.			
Snowbourn Scout	Core	core016	3	Ally	Leadership		Rohan. Scout.		1	0	0	1	1			16	Response: After Snowbourn Scout enters play, choose a location. Place 1 progress token on that location.			
Silverlode Archer	Core	core017	2	Ally	Leadership		Archer. Silvan.		3	1	2	0	1		Ranged	17				
Longbeard Orc Slayer	Core	core018	2	Ally	Leadership		Dwarf. Warrior.		4	0	2	1	3			18	Response: After Longbeard Orc Slayer enters play, deal 1 damage to each Orc enemy in play.			
Brok Ironfist	Core	core019	1	Ally	Leadership	*	Dwarf. Warrior.		6	2	2	1	4			19	Response: After a Dwarf hero you control leaves play, put Brok Ironfist into play from your hand.			
Ever Vigilant	Core	core020	2	Event	Leadership				1							20	Action: Choose and ready 1 ally card.			
Common Cause	Core	core021	2	Event	Leadership				0							21	Action: Exhaust 1 hero you control to choose and ready a different hero.			
For Gondor!	Core	core022	2	Event	Leadership				2							22	Action: Until the end of the phase, all characters get +1 ATK. All Gondor characters also get +1 DEF until the end of the phase.			
Sneak Attack	Core	core023	2	Event	Leadership				1							23	Action: Put 1 ally card into play from your hand. At the end of the phase, if that ally is still in play, return it to your hand.			
Valiant Sacrifice	Core	core024	2	Event	Leadership				1							24	Response: After an ally card leaves play, that card's controller draws 2 cards.			
Grim Resolve	Core	core025	1	Event	Leadership				5							25	Action: Ready all character cards in play.			
Steward of Gondor	Core	core026	2	Attachment	Leadership	*	Gondor. Title		2							26	Attach to a hero. Attached hero gains the Gondor trait. Action: Exhaust Steward of Gondor to add 2 resources to the attached hero's resource pool.			
